Date,QQQ_Close,QQQ_Volume,^DJI_Close,^DJT_Close,Difference,SMA,STDEV,z_score,EMA
2022-08-01,308.789794921875,46358800,32798.3984375,14634.08984375,18164.30859375,17836.601776123047,323.52896085851336,1.0129133934636128,63861796.78964113
2022-08-02,307.8691711425781,48676500,32396.169921875,14283.9296875,18112.240234375,17862.33462524414,311.05899708202264,0.8034026068211175,63241988.75741088
2022-08-03,316.25323486328125,53735700,32812.5,14426.6103515625,18385.8896484375,17905.56396484375,282.53286807838543,1.7000701081634484,62853976.9713941
2022-08-04,317.73223876953125,38973700,32726.8203125,14478.740234375,18248.080078125,17943.93585205078,238.3318763541907,1.2761374211740888,61879271.788888216
2022-08-05,315.1366271972656,53894000,32803.46875,14601.0498046875,18202.4189453125,17966.86737060547,226.11133530718357,1.041750403123411,61553342.32811727
2022-08-08,314.1180419921875,43878500,32832.5390625,14652.4404296875,18180.0986328125,17985.98666381836,217.00420497595778,0.8945078691707683,60831920.19227575
2022-08-09,310.5626220703125,39764200,32774.41015625,14525.669921875,18248.740234375,18004.848876953125,212.6104967832378,1.1471275459674453,59972013.24565225
2022-08-10,319.2307434082031,51459600,33309.51171875,14975.0703125,18334.44140625,18016.788299560547,220.16244513237854,1.442812403806906,59624567.80705419
2022-08-11,317.4187927246094,45897700,33336.671875,15072.5400390625,18264.1318359375,18027.398986816406,223.72881521559341,1.058124090510957,59064287.48839892
2022-08-12,323.5990905761719,40928400,33761.05078125,15146.7001953125,18614.3505859375,18057.01742553711,236.7745493808987,2.3538558593297543,58324047.18274998
2022-08-15,326.2142028808594,38266600,33912.44140625,15098.48046875,18813.9609375,18088.473388671875,267.41922037899025,2.7129222342356467,57505375.86916835
2022-08-16,325.4502258300781,41186900,34152.01171875,15209.9599609375,18942.0517578125,18129.833465576172,293.47263511229295,2.7676116784297276,56839315.62961045
2022-08-17,321.7380676269531,47842200,33980.3203125,14915.48046875,19064.83984375,18169.115020751953,330.7413598990056,2.7082334766706024,56472086.42023859
2022-08-18,322.51190185546875,41937200,33999.0390625,15035.33984375,18963.69921875,18207.005615234375,350.20059685482966,2.160743329142014,55878825.75002477
2022-08-19,316.22381591796875,51770600,33706.73828125,14771.75,18934.98828125,18241.609313964844,365.8661875083208,1.895170942161434,55711143.06635029
2022-08-22,307.8985900878906,51098900,33063.609375,14539.009765625,18524.599609375,18260.605834960938,364.2303801418404,0.7247988877568553,55522888.24731558
2022-08-23,307.6439514160156,39497100,32909.58984375,14634.2099609375,18275.3798828125,18271.05987548828,359.52722247647534,0.01201580034597079,54868774.441302694
2022-08-24,308.5351257324219,38057100,32969.23046875,14703.1103515625,18266.1201171875,18281.623016357422,354.04968822004355,-0.043787354390457056,54182583.64778013
2022-08-25,313.9906921386719,38098300,33291.78125,14957.7001953125,18334.0810546875,18298.019927978516,343.4653301493378,0.1049920429910789,53526082.274401344
2022-08-26,301.1208190917969,69047700,32283.400390625,14380.23046875,17903.169921875,18302.12744140625,337.7060391217038,-1.1813751408439344,54159617.691772714
2022-08-29,298.153076171875,48321900,32098.990234375,14232.7197265625,17866.2705078125,18308.42401123047,327.15280001817445,-1.3515198506428971,53921343.50027179
2022-08-30,294.8327331542969,51184500,31790.869140625,14005.83984375,17785.029296875,18299.329620361328,337.69594991464885,-1.5229685864349727,53809635.60230151
2022-08-31,293.1187744140625,50044000,31510.4296875,13860.650390625,17649.779296875,18294.910247802734,345.3978221828815,-1.86779102094671,53655936.18996267
2022-09-01,293.2460021972656,57990700,31656.419921875,13913.08984375,17743.330078125,18285.93930053711,356.05315157003446,-1.5239556791435391,53832865.32506623
2022-09-02,289.1029357910156,64666800,31318.439453125,13737.6103515625,17580.8291015625,18274.228637695312,373.0276088328734,-1.8588424012429452,54275066.74036965
2022-09-06,287.0265197753906,57005400,31145.30078125,13664.5498046875,17480.7509765625,18252.643341064453,398.29384180499875,-1.9379972359197686,54386508.914232105
